film,budget,genre,box_office,rt,rt_user,mc,mc_user,imdb,fandango_rating,mc_votes,imdb_votes,fandango_votes
Avengers: Age of Ultron (2015),469.6,action,1403.000,74,86,66,7.1,7.8,4.5,1330,271107,14846
Cinderella (2015),149.65,fantasy,543.500,85,80,67,7.5,7.1,4.5,249,65709,12640
Ant-Man (2015),130,fantasy,519.300,80,90,64,8.1,7.8,4.5,627,103660,12055
Do You Believe? (2015),2.3,drama,14.400,18,84,22,4.7,5.4,4.5,31,3136,1793
Hot Tub Time Machine 2 (2015),18,fantasy,13.100,14,28,29,3.4,5.1,3,88,19560,1021
The Water Diviner (2015),22.5,other,38.200,63,62,50,6.8,7.2,4,34,39373,397
Irrational Man (2015),11,drama,27.400,42,53,53,7.6,6.9,3.5,17,2680,252
Top Five (2014),12,drama,26.100,86,64,81,6.8,6.5,3.5,124,16876,3223
Shaun the Sheep Movie (2015),25,fantasy,106.200,99,82,81,8.8,7.4,4,62,12227,896
Love & Mercy (2015),10,other,28.600,89,87,80,8.5,7.8,4,54,5367,864
Far From The Madding Crowd (2015),15.48,drama,30.200,84,77,71,7.5,7.2,4,35,12129,804
Black Sea (2015),10.3192,action,1.600,82,60,62,6.6,6.4,3.5,37,16547,218
Leviathan (2014),3.45,drama,3.400,99,79,92,7.2,7.7,3.5,145,22521,64
Unbroken (2014),65,other,163.400,51,70,59,6.5,7.2,4.1,218,77518,9443
The Imitation Game (2014),14,other,233.600,90,92,73,8.2,8.1,4.6,566,334164,8055
Taken 3 (2015),48,action,326.400,9,46,26,4.6,6.1,4.1,240,104235,6757
Ted 2 (2015),68,fantasy,216.700,46,58,48,6.5,6.6,4.1,197,49102,6437
Southpaw (2015),30,other,94.000,59,80,57,8.2,7.8,4.6,128,23561,5597
Night at the Museum: Secret of the Tomb (2014),127,fantasy,363.200,50,58,47,5.8,6.3,4.1,103,50291,5445
Pixels (2015),108.5,fantasy,244.900,17,54,27,5.3,5.6,4.1,246,19521,3886
"McFarland, USA (2015)",25,other,45.700,79,89,60,7.2,7.5,4.6,59,13769,3364
Insidious: Chapter 3 (2015),11,other,113.000,59,56,52,6.9,6.3,4.1,115,25134,3276
The Man From U.N.C.L.E. (2015),79.5,action,109.800,68,80,55,7.9,7.6,4.1,144,22104,2686
Run All Night (2015),55.8,action,71.700,60,59,59,7.3,6.6,4.1,141,50438,2066
Trainwreck (2015),35,drama,140.800,85,74,75,6,6.7,4.1,169,27380,8381
Selma (2014),20,drama,66.800,99,86,89,7.1,7.5,4.6,316,45344,7025
Ex Machina (2015),15,fantasy,36.900,92,86,78,7.9,7.7,4.1,672,154499,3458
Still Alice (2015),4,drama,66.800,88,85,72,7.8,7.5,4.1,153,57123,1258
Wild Tales (2014),4,drama,27.000,96,92,77,8.8,8.2,4.1,107,50285,235
The End of the Tour (2015),NA,drama,3.000,92,89,84,7.5,7.9,4.1,19,1320,121
Red Army (2015),NA,other,0.690,96,86,82,7.4,7.7,4.1,11,2275,54
When Marnie Was There (2015),10.5,other,34.000,89,89,71,6.4,7.8,4.1,29,4160,46
The Hunting Ground (2015),NA,other,0.400,92,72,77,7.8,7.5,4.1,6,1196,42
The Boy Next Door (2015),4,action,53.400,10,35,30,5.5,4.6,3.6,75,19658,2800
Aloha (2015),44.5,drama,26.300,19,31,40,4,5.5,3.1,67,12255,2284
The Loft (2015),14,drama,10.100,11,40,24,2.4,6.3,3.6,80,21319,811
5 Flights Up (2015),NA,drama,2.000,52,47,55,6.8,6.1,3.6,6,2174,79
Welcome to Me (2015),NA,drama,0.630,71,47,67,6.9,5.9,3.6,33,8301,56
Saint Laurent (2015),NA,other,21.000,51,45,52,6.8,6.3,3.1,8,2196,43
Maps to the Stars (2015),13,drama,4.000,60,46,67,5.8,6.3,3.1,46,22440,35
I'll See You In My Dreams (2015),1,drama,7.500,94,70,75,6.9,6.9,3.6,14,1151,281
Timbuktu (2015),NA,other,7.200,99,78,91,6.9,7.2,3.6,37,6246,74
About Elly (2015),1.35,drama,7.000,97,86,87,9.6,8.2,3.6,23,20659,43
The Diary of a Teenage Girl (2015),2,drama,2.300,95,81,87,6.3,7,3.6,18,1107,38
Kingsman: The Secret Service (2015),87.5,action,414.400,75,84,58,7.9,7.8,4.2,1054,272204,15205
Tomorrowland (2015),185,other,209.200,50,53,60,6.4,6.6,3.7,262,42937,8077
The Divergent Series: Insurgent (2015),110,fantasy,297.300,30,61,42,5.4,6.4,4.2,206,89618,7123
Annie (2014),71.5,other,133.800,27,61,33,4.8,5.2,4.2,108,19222,6835
Fantastic Four (2015),155,fantasy,168.000,9,20,27,2.5,4,2.7,421,39838,6288
Terminator Genisys (2015),155,fantasy,440.600,26,60,38,6.4,6.9,4.2,779,85585,6272
Pitch Perfect 2 (2015),30,drama,287.500,67,68,63,5.7,6.7,4.2,192,56333,4577
Entourage (2015),39,drama,49.300,32,68,38,5.2,7.1,4.2,96,21914,4279
The Age of Adaline (2015),25,drama,65.700,54,68,51,7.4,7.3,4.2,100,45510,3325
Hot Pursuit (2015),35,action,51.700,8,37,31,3.7,4.9,3.7,78,17061,2618
The DUFF (2015),8.5,drama,43.500,71,68,56,6.4,6.6,4.2,69,33594,2273
Black or White (2015),9,drama,9.000,39,68,45,7.9,6.6,4.2,24,4857,1862
Project Almanac (2015),12,fantasy,33.200,34,46,47,5.4,6.4,3.7,95,40057,1834
Ricki and the Flash (2015),30,drama,41.300,64,53,54,7,6.2,3.7,37,1769,1462
Seventh Son (2015),95,action,114.200,12,35,30,3.9,5.5,3.2,126,41177,1213
Mortdecai (2015),60,other,47.300,12,30,27,3.2,5.5,3.2,144,31878,1196
Unfinished Business (2015),35,drama,14.400,11,27,32,3.8,5.4,3.2,39,14346,821
American Ultra (2015),28,fantasy,30.300,46,52,50,6.8,6.5,3.7,42,3017,638
True Story (2015),NA,other,5.300,45,41,50,5.7,6.3,3.2,37,16069,540
Child 44 (2015),50,other,13.000,26,44,41,5.3,6.4,3.7,73,19220,308
Dark Places (2015),20,other,3.500,26,33,39,7.9,6.3,3.7,18,9856,55
Birdman (2014),18,drama,103.200,92,78,88,8,7.9,3.7,1171,303505,4194
The Gift (2015),5,other,58.900,93,79,77,8.3,7.6,3.7,121,10891,2680
Unfriended (2015),1,fantasy,64.100,60,39,59,5.8,5.9,2.7,130,22348,2507
Monkey Kingdom (2015),7.5,other,17.100,94,77,72,7.5,7.3,4.2,15,883,701
Mr. Turner (2014),10.83516,other,22.200,98,56,94,6.6,6.9,3.2,98,13296,290
Seymour: An Introduction (2015),NA,other,0.744,100,87,83,6,7.7,4.2,4,243,41
The Wrecking Crew (2015),NA,other,0.802,93,84,67,7,7.8,4.2,4,732,38
American Sniper (2015),59,action,547.400,72,85,72,6.6,7.4,4.8,850,251856,34085
Furious 7 (2015),190,other,1516.000,81,84,67,6.8,7.4,4.8,764,207211,33538
The Hobbit: The Battle of the Five Armies (2014),250,fantasy,956.000,61,75,59,7,7.5,4.3,903,289464,15337
San Andreas (2015),110,drama,474.000,50,58,43,5.5,6.5,4.3,199,45723,9749
Straight Outta Compton (2015),28,drama,201.600,90,94,72,7.3,8.4,4.8,90,15982,8096
Vacation (2015),31,action,104.900,27,55,34,6.2,6.3,3.8,72,8179,3815
Chappie (2015),49,fantasy,102.100,30,57,41,7.4,7,3.8,637,125088,3642
Poltergeist (2015),35,action,95.400,31,24,47,3.7,5,2.8,142,21372,2704
Paper Towns (2015),12,drama,85.500,55,57,56,6.2,6.9,3.8,51,14156,1750
Big Eyes (2014),10,drama,29.300,72,69,62,7.5,7,3.8,127,39152,1501
Blackhat (2015),70,drama,19.700,34,25,51,5.4,5.4,2.8,80,27328,1430
Self/less (2015),26,fantasy,30.500,20,51,34,8.4,6.6,3.8,77,5626,1415
Sinister 2 (2015),10,action,54.100,13,34,31,5,5.5,3.3,37,3200,973
Little Boy (2015),20,fantasy,17.700,20,81,30,5.9,7.4,4.3,38,5927,811
Me and Earl and The Dying Girl (2015),8,drama,9.100,81,89,74,8.4,8.2,4.3,41,5269,624
Maggie (2015),8.5,drama,1.394,54,32,52,6.5,5.6,3.3,90,18986,95
Mad Max: Fury Road (2015),169.85,fantasy,378.900,97,88,89,8.7,8.3,4.3,2375,292023,10509
Spy (2015),65,action,235.700,93,82,75,6.3,7.3,4.3,318,66636,9418
The SpongeBob Movie: Sponge Out of Water (2015),74,fantasy,325.200,78,55,62,6.5,6.1,3.3,196,26046,4493
Paddington (2015),55,fantasy,268.000,98,81,77,8.2,7.2,4.3,149,38593,4045
Dope (2015),7,drama,18.000,87,86,72,7.2,7.5,4.3,43,4911,2195
What We Do in the Shadows (2015),1.6,drama,6.900,96,86,75,8.3,7.6,4.3,69,39561,259
The Overnight (2015),0.2,drama,1.100,82,65,65,8.6,6.9,3.3,13,867,110
The Salt of the Earth (2015),NA,other,3.600,96,90,83,7.8,8.4,4.3,13,6605,83
Song of the Sea (2014),7.5,fantasy,4.400,99,92,86,8.2,8.2,4.3,62,14067,66
Fifty Shades of Grey (2015),40,drama,571.000,25,42,46,3.2,4.2,3.9,778,179506,34846
Get Hard (2015),44,drama,111.800,29,48,34,3.8,6.1,3.9,145,50022,5933
Focus (2015),50.1,drama,159.100,57,54,56,6.2,6.6,3.9,167,101264,4933
Jupiter Ascending (2015),176,fantasy,184.000,26,40,40,4.5,5.5,3.4,503,105412,4122
The Gallows (2015),0.1,action,43.000,16,27,30,7,4.4,2.9,80,5511,1896
The Second Best Exotic Marigold Hotel (2015),10,drama,86.000,62,63,51,6.1,6.6,3.9,41,12940,1870
Strange Magic (2015),85,fantasy,13.600,17,50,25,5.3,5.7,3.4,41,3658,1117
The Gunman (2015),40,action,24.200,17,34,39,4.3,5.8,3.4,49,16663,996
Hitman: Agent 47 (2015),35,action,82.300,7,49,28,3.3,5.9,3.9,67,4260,917
Cake (2015),8.5,drama,2.900,49,47,49,6.4,6.5,3.4,44,19627,482
The Vatican Tapes (2015),31,action,13.500,13,21,37,5.4,4.6,2.9,5,952,210
A Little Chaos (2015),NA,drama,1008.000,40,47,51,7,6.4,3.9,7,4778,83
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),63,action,51.200,67,69,58,4.6,7.1,3.9,5,17237,63
Escobar: Paradise Lost (2015),17,drama,3.800,52,52,56,6.9,6.6,3.9,7,7819,48
Into the Woods (2014),50,action,213.100,71,50,69,6.1,6,3.4,307,81679,13055
It Follows (2015),1,action,23.300,96,65,83,7.5,6.9,2.9,551,64656,2097
Inherent Vice (2014),20,drama,14.700,73,52,81,7.4,6.7,2.9,286,44711,1078
A Most Violent Year (2014),20,drama,12.000,90,69,79,7,7.1,3.4,133,32166,675
While We're Young (2015),10,drama,17.300,83,52,76,6.7,6.4,2.9,65,17647,449
Clouds of Sils Maria (2015),5.1,drama,4.700,89,67,78,7.1,6.8,3.4,36,11392,162
Testament of Youth (2015),10,drama,5.300,81,79,77,7.9,7.3,3.9,15,5495,127
Infinitely Polar Bear (2015),6.7,drama,2.100,80,76,64,7.9,7.2,3.9,8,1062,124
Phoenix (2015),NA,other,5.600,99,81,91,8,7.2,3.4,21,3687,70
The Wolfpack (2015),NA,other,1.200,84,73,75,7,7.1,3.4,8,1488,66
The Stanford Prison Experiment (2015),NA,action,0.650,84,87,68,8.5,7.1,3.9,6,950,51
Tangerine (2015),0.1,action,0.925,95,86,86,7.3,7.4,3.9,14,696,36
Magic Mike XXL (2015),14.8,other,122.500,62,64,60,5.4,6.3,4.4,52,11937,9363
Home (2015),135,fantasy,386.000,45,65,55,7.3,6.7,4.4,177,41158,7705
The Wedding Ringer (2015),23,action,79.800,27,66,35,3.3,6.7,4.4,126,37292,6506
Woman in Gold (2015),11,other,61.600,52,81,51,7.2,7.4,4.4,72,17957,2435
The Last Five Years (2015),2,drama,0.145,60,60,60,6.9,6,4.4,20,4110,99
Mission: Impossible  Rogue Nation (2015),150,action,682.700,92,90,75,8,7.8,4.4,362,82579,8357
Amy (2015),3.4,other,23.700,97,91,85,8.8,8,4.4,60,5630,729
Jurassic World (2015),150,fantasy,1672.000,71,81,59,7,7.3,4.5,1281,241807,34390
Minions (2015),74,action,1159.000,54,52,56,5.7,6.7,4,204,55895,14998
Max (2015),20,action,44.000,35,73,47,5.9,7,4.5,15,5444,3412
Paul Blart: Mall Cop 2 (2015),30,action,107.600,5,36,13,2.4,4.3,3.5,211,15004,3054
The Longest Ride (2015),34,drama,65.000,31,73,33,4.8,7.2,4.5,49,25214,2603
The Lazarus Effect (2015),3.3,fantasy,3.300,14,23,31,4.9,5.2,3,62,17691,1651
The Woman In Black 2 Angel of Death (2015),15,action,48.900,22,25,42,4.4,4.9,3,55,14873,1333
Danny Collins (2015),10,other,10.800,77,75,58,7.1,7.1,4,33,11206,531
Spare Parts (2015),4,drama,3.600,52,83,50,7.1,7.2,4.5,7,47377,450
Serena (2015),30,fantasy,244.900,18,25,36,5.3,5.4,3,19,12165,50
Inside Out (2015),175,fantasy,857.600,98,90,94,8.9,8.6,4.5,807,96252,15749
Mr. Holmes (2015),10,action,29.400,87,78,67,7.9,7.4,4,33,7367,1348
71 (2015),8.9505,other,3.200,97,82,83,7.5,7.2,3.5,60,24116,192
"Two Days, One Night (2014)",7.735,drama,9.000,97,78,89,8.8,7.4,3.5,123,24345,118
Gett: The Trial of Viviane Amsalem (2015),NA,drama,1.260,100,81,90,7.3,7.8,3.5,19,1955,59
"Kumiko, The Treasure Hunter (2015)",NA,fantasy,0.544,87,63,68,6.4,6.7,3.5,19,5289,41